tamanho;algoritmo;cores;qtd_primos;tempo;speedup
10000000;serial;1;664579;1.2148;1.00x
10000000;openMp;4;664579;0.4529;2.68x
10000000;serial;1;664579;1.2059;1.00x
10000000;openMp;4;664579;0.4450;2.71x
10000000;serial;1;664579;1.2068;1.00x
10000000;openMp;4;664579;0.4461;2.71x
10000000;serial;1;664579;1.2113;1.00x
10000000;openMp;4;664579;0.4390;2.76x
10000000;serial;1;664579;1.2135;1.00x
10000000;openMp;4;664579;0.4356;2.79x
10000000;serial;1;664579;1.2047;1.00x
10000000;openMp;4;664579;0.4367;2.76x
10000000;serial;1;664579;1.2122;1.00x
10000000;openMp;4;664579;0.4364;2.78x
10000000;serial;1;664579;1.2141;1.00x
10000000;openMp;4;664579;0.4370;2.78x
10000000;serial;1;664579;1.2134;1.00x
10000000;openMp;4;664579;0.4480;2.71x
10000000;serial;1;664579;1.2193;1.00x
10000000;openMp;4;664579;0.4393;2.78x
50000000;serial;1;3001134;10.2638;1.00x
50000000;openMp;4;3001134;3.6688;2.80x
50000000;serial;1;3001134;10.6159;1.00x
50000000;openMp;4;3001134;5.1113;2.08x
50000000;serial;1;3001134;10.3918;1.00x
50000000;openMp;4;3001134;3.6789;2.82x
50000000;serial;1;3001134;10.2424;1.00x
50000000;openMp;4;3001134;3.6423;2.81x
50000000;serial;1;3001134;10.2288;1.00x
50000000;openMp;4;3001134;3.6472;2.80x
50000000;serial;1;3001134;10.2341;1.00x
50000000;openMp;4;3001134;3.6422;2.81x
50000000;serial;1;3001134;10.2169;1.00x
50000000;openMp;4;3001134;3.6594;2.79x
50000000;serial;1;3001134;10.2660;1.00x
50000000;openMp;4;3001134;3.6471;2.81x
50000000;serial;1;3001134;10.2387;1.00x
50000000;openMp;4;3001134;3.6466;2.81x
50000000;serial;1;3001134;10.2268;1.00x
50000000;openMp;4;3001134;3.6618;2.79x
100000000;serial;1;5761455;25.9493;1.00x
100000000;openMp;4;5761455;9.2131;2.82x
100000000;serial;1;5761455;25.9430;1.00x
100000000;openMp;4;5761455;9.1969;2.82x
100000000;serial;1;5761455;25.9502;1.00x
100000000;openMp;4;5761455;9.1794;2.83x
100000000;serial;1;5761455;25.9848;1.00x
100000000;openMp;4;5761455;9.2433;2.81x
100000000;serial;1;5761455;25.9546;1.00x
100000000;openMp;4;5761455;9.2551;2.80x
100000000;serial;1;5761455;25.9346;1.00x
100000000;openMp;4;5761455;9.1833;2.82x
100000000;serial;1;5761455;25.9706;1.00x
100000000;openMp;4;5761455;9.1878;2.83x
100000000;serial;1;5761455;25.9497;1.00x
100000000;openMp;4;5761455;9.2067;2.82x
100000000;serial;1;5761455;25.9575;1.00x
100000000;openMp;4;5761455;9.2560;2.80x
100000000;serial;1;5761455;25.9385;1.00x
100000000;openMp;4;5761455;9.2246;2.81x
