tamanho;algoritmo;cores;qtd_primos;tempo
10000000;mpi;1;664579;1.4337
10000000;mpi;1;664579;1.3273
10000000;mpi;1;664579;1.3280
10000000;mpi;1;664579;1.3295
10000000;mpi;1;664579;1.3410
10000000;mpi;1;664579;1.3255
10000000;mpi;1;664579;1.3300
10000000;mpi;1;664579;1.3314
10000000;mpi;1;664579;1.3282
10000000;mpi;1;664579;1.3282
50000000;mpi;1;3001134;10.9131
50000000;mpi;1;3001134;10.8808
50000000;mpi;1;3001134;10.8362
50000000;mpi;1;3001134;10.8430
50000000;mpi;1;3001134;10.8743
50000000;mpi;1;3001134;11.0082
50000000;mpi;1;3001134;10.8595
50000000;mpi;1;3001134;10.8490
50000000;mpi;1;3001134;10.8867
50000000;mpi;1;3001134;10.8876
100000000;mpi;1;5761455;27.2194
100000000;mpi;1;5761455;27.2410
100000000;mpi;1;5761455;27.2801
100000000;mpi;1;5761455;27.2492
100000000;mpi;1;5761455;27.3179
100000000;mpi;1;5761455;27.2376
100000000;mpi;1;5761455;27.2473
100000000;mpi;1;5761455;27.2230
100000000;mpi;1;5761455;27.2236
100000000;mpi;1;5761455;27.3642
