tamanho;algoritmo;cores;qtd_primos;tempo
10000000;mpi;1;664579;1.7042
10000000;mpi;1;664579;1.6640
10000000;mpi;1;664579;1.7992
10000000;mpi;1;664579;1.9168
10000000;mpi;1;664579;1.9917
10000000;mpi;1;664579;1.9918
10000000;mpi;1;664579;2.0237
10000000;mpi;1;664579;1.6864
10000000;mpi;1;664579;1.8651
10000000;mpi;1;664579;1.7349
50000000;mpi;1;3001134;14.1077
50000000;mpi;1;3001134;16.8496
50000000;mpi;1;3001134;18.8945
50000000;mpi;1;3001134;12.6350
50000000;mpi;1;3001134;13.3226
50000000;mpi;1;3001134;13.3145
50000000;mpi;1;3001134;12.9677
50000000;mpi;1;3001134;12.0141
50000000;mpi;1;3001134;12.2159
50000000;mpi;1;3001134;12.1930
100000000;mpi;1;5761455;30.3649
100000000;mpi;1;5761455;29.1849
100000000;mpi;1;5761455;28.2908
100000000;mpi;1;5761455;30.1175
100000000;mpi;1;5761455;28.3051
100000000;mpi;1;5761455;28.9213
100000000;mpi;1;5761455;28.4854
100000000;mpi;1;5761455;28.4311
100000000;mpi;1;5761455;32.2601
100000000;mpi;1;5761455;33.6743
150000000;mpi;1;8444396;57.1306
150000000;mpi;1;8444396;50.4779
150000000;mpi;1;8444396;49.3278
150000000;mpi;1;8444396;52.4374
150000000;mpi;1;8444396;55.2388
150000000;mpi;1;8444396;49.7989
150000000;mpi;1;8444396;47.4807
150000000;mpi;1;8444396;47.2353
150000000;mpi;1;8444396;47.5848
150000000;mpi;1;8444396;50.5431
200000000;mpi;1;11078937;82.1064
200000000;mpi;1;11078937;81.0678
200000000;mpi;1;11078937;71.6920
200000000;mpi;1;11078937;89.2763
200000000;mpi;1;11078937;93.4853
200000000;mpi;1;11078937;87.5548
200000000;mpi;1;11078937;87.7218
200000000;mpi;1;11078937;92.4965
200000000;mpi;1;11078937;92.7200
200000000;mpi;1;11078937;90.6598
